level_0,index,ds,BNB_USDT_1h_open,BNB_USDT_1h_high,BNB_USDT_1h_low,BNB_USDT_1h_close,BNB_USDT_1h_volume,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume,DOGE_USDT_1h_open,DOGE_USDT_1h_high,DOGE_USDT_1h_low,DOGE_USDT_1h_close,DOGE_USDT_1h_volume,ETH_USDT_1h_open,ETH_USDT_1h_high,ETH_USDT_1h_low,ETH_USDT_1h_close,ETH_USDT_1h_volume,SOL_USDT_1h_open,SOL_USDT_1h_high,SOL_USDT_1h_low,SOL_USDT_1h_close,SOL_USDT_1h_volume,XRP_USDT_1h_open,XRP_USDT_1h_high,XRP_USDT_1h_low,XRP_USDT_1h_close,XRP_USDT_1h_volume
43,43,2023-05-22,306.4151,311.2701,304.4374,309.1379,4100.05392,26746.01,27101.63,26540.0,26848.1,4834.047473,0.07211,0.07399,0.07072,0.07292,46510360.2,1804.98,1828.62,1792.25,1817.23,32879.71111,19.62,20.03,19.28,19.52,453071.67699999997,0.4574,0.4674,0.4495,0.4616,36105539.58
44,44,2023-05-23,309.1379,315.3797,309.1361,313.4483,3120.7613,26848.1,27499.99,26801.06,27220.05,6050.595436,0.07292,0.07394,0.07243,0.07287,27927878.8,1817.23,1875.32,1815.5,1854.06,56914.95099,19.52,20.17,19.42,20.03,560665.664,0.4616,0.4672,0.4586,0.4651,32344354.79
45,45,2023-05-24,313.4483,313.4853,303.8,305.9385,4222.17613,27220.05,27220.06,26090.85,26328.6,7455.672868000001,0.07287,0.07287,0.06927,0.07063,57887618.1,1854.06,1854.15,1776.64,1800.19,64795.30339,20.03,20.07,18.69,19.21,709232.66,0.4651,0.4651,0.4453,0.453,46472002.2
46,46,2023-05-25,305.9385,306.9722,302.1971,304.7306,3568.50975,26328.6,26640.19,25877.31,26474.63,5948.195061,0.07063,0.07117,0.06848,0.07087,36311513.6,1800.19,1818.54,1760.38,1806.05,61323.45649,19.21,19.59,18.78,19.25,450074.641,0.453,0.4551,0.443,0.4535,36094628.88
47,47,2023-05-26,304.7306,308.3965,301.6664,306.9742,3734.06347,26474.63,26944.29,26326.36,26709.43,4103.817804,0.07087,0.07135,0.07038,0.07096,29505947.1,1806.05,1837.9,1796.89,1827.82,36848.89797,19.25,19.56,19.1,19.35,263628.093,0.4535,0.4699,0.4524,0.4685,35966055.46
48,48,2023-05-27,306.9742,307.786,304.0,307.4554,1718.00201,26709.43,26895.82,26554.61,26855.74,1623.047978,0.07096,0.07341,0.07074,0.07257,23367119.7,1827.82,1835.98,1812.31,1830.17,16734.9382,19.35,20.52,19.32,20.43,236206.475,0.4685,0.4792,0.4644,0.4715,27210050.12
49,49,2023-05-28,307.4554,314.5608,306.7019,314.1872,1975.61284,26855.74,28280.0,26770.17,28064.09,4976.487961,0.07257,0.07396,0.07186,0.07353,29460322.0,1830.17,1922.5,1823.62,1908.83,47575.17033,20.43,21.18,20.28,20.81,320905.24,0.4715,0.4864,0.47,0.4821,19005810.85
50,50,2023-05-29,314.1872,317.4795,310.3291,311.806,3884.30692,28064.09,28442.0,27525.01,27737.11,5868.61412,0.07353,0.07398,0.07262,0.07315,27942609.8,1908.83,1927.74,1873.46,1892.53,52517.69685,20.81,20.98,20.26,20.59,287381.435,0.4821,0.4954,0.476,0.4944,33021883.15
51,51,2023-05-30,311.806,314.2855,310.8796,311.4838,4289.77291,27737.11,28039.76,27556.32,27694.38,5695.328347,0.07315,0.07344,0.07179,0.07231,61939501.3,1892.53,1916.72,1881.47,1900.68,49101.85001,20.59,21.4,20.47,21.25,552854.306,0.4944,0.5292,0.4894,0.5205,73070787.75
52,52,2023-05-31,311.4838,311.7288,305.1514,306.7998,4094.7075999999997,27694.38,27830.5,26833.99,27211.51,7046.211834,0.07231,0.07267,0.07049,0.07165,52658592.7,1900.68,1907.36,1846.8,1873.53,47766.62959,21.25,21.33,20.36,20.82,354352.612,0.5205,0.5278,0.5009,0.5167,50938120.64
